"","item_id","label_im","label_io","behavior","rt_M2SD_log_im","rt_M2SD_log_io","diff_M2SD_log","sconsensus","cconsensus","label_score","word_count","diff_availability","diff_valence","diff_identity"
"1","afdler_1","AfDler","links","Michael sagt: „Die ganzen Asylanten kommen doch nur nach Deutschland um unsere Sozialleistungen abzugreifen. Wir sollten das denen nicht auch noch so einfach machen.”",-0.280428502955644,-0.236080872892374,-0.0443476300632707,0.316,0.316,0.94,24,-0.717791411042945,-2.1840490797546,-2.14723926380368
"2","atheist_2","Atheistin","Esoterikerin","Sarah hat heute einen Termin beim Bürgeramt, um aus der Kirche auszutreten.",-0.266907234761317,-0.344143281446216,0.0772360466848994,0.381,0.429,1.44,12,0.926380368098159,1.2760736196319,1.94478527607362
"3","esoteriker_2","Esoterikerin","Querdenkerin","Sonja schenkt ihren Gästen Wasser ein aus einer Karaffe mit kleinen bunten Steinchen am Boden.",-0.302722291597879,-0.321311508893526,0.0185892172956474,0.35,0.35,1.21,15,-1.07975460122699,0.846625766871166,0.282208588957055
"4","feminist_2","Feministin","Atheistin","Monika sagt: „Frauen sind immer noch nicht wirklich gleichberechtigt. Das zeigt allein schon der fortwährende Gender Pay Gap.”",-0.167657532512247,-0.296715193196746,0.129057660684499,0.7,0.85,1.29,18,0.355828220858895,-0.0674846625766872,-0.294478527607362
"5","gruen_1","grün","Sexist","Am Fahrrad von Christina klebt ein „Atomkraft? Nein danke”-Sticker.",-0.26571661875073,-0.377560791688481,0.111844172937751,0.474,0.737,1.5,10,0.441717791411043,2.41717791411043,2.15337423312883
"6","hippie_1","Hippie","konservativ","Vanessa sagt: „Man muss sich mental mal von diesem ganzen Leistungsstreben lossagen und sich auf das fokussieren was wirklich wichtig ist: Frieden, Liebe, Natur.”",-0.302273007644706,-0.265004512973581,-0.0372684946711255,0.684,0.684,1.69,24,-1.26993865030675,0.730061349693252,-0.104294478527607
"7","homophob_2","homophob","liberal","Nina sagt: „Von mir aus können sie in den eigenen vier Wänden ja machen, was sie wollen aber wenn ich mit meinen Kindern im Park bin will ich nicht sehen, wie sich zwei Männer gegenseitig die Zunge in den Hals stecken.”",-0.206384022972729,-0.286199560379765,0.0798155374070368,0.65,0.65,1.71,41,-0.214723926380368,-2.26380368098159,-2.26380368098159
"8","incel_1","Incel","Punk","Marvin sagt: „Wenn selbst völlig unattraktive Frauen nur muskelbepackten Models hinterherlaufen, ist doch klar, warum ich niemals eine Freundin haben werde.”",-0.300032666634968,-0.323256432943766,0.0232237663087978,0.3,0.3,0.71,21,-0.220858895705522,-1.20245398773006,-0.503067484662577
"9","klimaleugner_2","Klimaleugner","homophob","Ralf sagt: „Es hat in der Geschichte der Erde immer wärmere und kältere Phasen gegeben. Aber deswegen müssen wir jetzt nicht gleich den Teufel an die Wand malen.”",-0.190961495414272,-0.316125867698765,0.125164372284493,0.238,0.619,1.94,28,-0.128834355828221,-0.00613496932515356,-0.0613496932515338
"10","kommunist_1","Kommunistin","Verschwörungstheoretikerin","Maike sagt: „Der Finzanzkapitalismus hat als System ausgedient und muss endlich umgestoßen werden.”",-0.210386994142329,-0.20512562249635,-0.00526137164597867,0.4,0.5,1.5,13,-0.797546012269938,1.07975460122699,0.619631901840491
"11","konservativ_1","konservativ","Klimaleugner","Marion sagt: „In der guten alten Zeit konnten die Menschen noch normal sprechen. Was die Leute heute sprechen klingt überhaupt nicht mehr wie Deutsch mit den ganzen Gender-Gaps und Anglizismen.”",-0.211196710079368,-0.251461601401931,0.0402648913225633,0.579,0.579,1.18,31,0.644171779141105,1.03680981595092,0.828220858895706
"12","liberal_1","liberal","Rassistin","Simone sagt: „Unsere Gesellschaft ist viel zu bürokratisch. Ich bin für einen schlankeren Staat und mehr Eigenverantwortung.”",-0.234670800027053,-0.298991516746711,0.0643207167196574,0.35,0.35,1.31,17,-0.0981595092024539,2.42944785276074,2.31901840490798
"13","links_4","links","Nazi","Katharina war heute auf einer Demonstration gegen Auslandseinsätze der Bundeswehr.",-0.285980365322127,-0.353318927144907,0.0673385618227794,0.45,0.45,1.22,10,0.631901840490797,2.46625766871166,2.15950920245399
"14","nazi_4","Nazi","grün","Heike sagt: „Man wird ja wohl auch nochmal sagen dürfen, dass im dritten Reich nicht alles schlecht war.”",-0.268991063924216,-0.337734539945708,0.0687434760214916,0.4,0.4,1.38,18,-0.515337423312884,-2.68098159509202,-2.23312883435583
"15","pazifist_1","Pazifist","AfDler","Nico sagt: „Die EU sollte entmilitarisiert werden. Wenn wir keine Waffen haben, dann werden auch andere Nationen abrüsten und es ist Schluss mit sinnlosen Kriegen.”",-0.232619950212504,-0.337068990417518,0.104449040205014,0.286,0.381,1.67,25,-0.552147239263804,2.19018404907975,2.06134969325153
"16","punk_1","Punk","religiös","Emil hat bunt gefärbte Haare und ist völlig in schwarz gekleidet. Auf seinem Pullover steht in großen Buchstaben ACAB.",-0.156966262858872,-0.314713549923912,0.15774728706504,0.5,0.5,0.69,19,-1.19631901840491,0.245398773006135,-0.0368098159509203
"17","querdenker_2","Querdenkerin","Kommunistin","Susanna sagt: „Wir leben in einer Gesundheitsdiktatur! Seit über einem Jahr sind uns unsere Grundrechte genommen!”",-0.241711721268482,-0.283744652557076,0.0420329312885937,0.65,0.65,1.24,16,0.914110429447853,-1.19631901840491,-0.662576687116565
"18","rassist_7","Rassistin","Hippie","Barbara sagt: „Ich hoffe die neue Kollegin ist endlich mal wieder eine Deutsche.”",-0.290136991630547,-0.393895751461196,0.103758759830649,0.667,0.667,1.29,13,1.06748466257669,-1.92638036809816,-0.717791411042945
"19","religioes_2","religiös","Trumpist","Claudia war zwar wahnsinnig erschöpft vom langen Tag, aber nahm sich vorm Schlafengehen trotzdem noch zehn Minuten Zeit, um zu beten.",-0.140651405961593,-0.346702900845729,0.206051494884135,0.611,0.889,1.93,21,1.34969325153374,1.25766871165644,0.601226993865031
"20","sexist_3","Sexist","Pazifist","Als sich Janniks Freundin nicht traut vom Drei-Meter-Brett zu springen, sagt er ihr, sie solle mal keine Pussy sein.",-0.243116583305793,-0.297618576027202,0.0545019927214087,0.4,0.75,0.77,21,0.711656441717791,-2.20858895705521,-1.99386503067485
"21","transphob_1","transphob","Veganerin","Natalie sagt: „Trans-Frauen sollten keine Frauentoiletten benutzen dürfen. Frauen brauchen Orte, an denen sie vor männlichen Übergriffen sicher sind und nicht jeder verkleidete Mann hineinspazieren darf.”",-0.13877655468203,-0.305994857458246,0.167218302776216,0.4,0.4,1.27,27,-1.19018404907975,-2.23312883435583,-1.30061349693252
"22","trumpist_1","Trumpist","Incel","John trägt eine Kappe auf der „Make America Great Again” steht.",-0.265518598253603,-0.376195783133124,0.110677184879521,0.476,0.476,1.75,11,0.0674846625766872,-0.300613496932515,-0.0613496932515336
"23","veganer_1","Veganerin","transphob","Larissa fragt die Kellnerin im Restaurant, ob der gemischte Salat irgendwelche tierischen Produkte enthält.",-0.158357688101224,-0.340313993190057,0.181956305088833,0.905,0.952,1.58,14,1.19018404907975,2.23312883435583,1.30061349693252
"24","verschwoerungstheoretiker_1","Verschwörungstheoretikerin","Feministin","Sina sagt: „Ich glaube schon, dass uns zu 9/11 nicht die ganze Geschichte erzählt wurde. Der Terroranschlag war auf jeden Fall im Interesse der amerikanischen Regierung.”",-0.143539191031761,-0.261539187197155,0.117999996165394,0.65,0.7,1.38,25,-0.319018404907975,-1.93865030674847,-1.88957055214724
